indexInDoc	token	ssplit	posTag
1	One	--	??
2	morning	--	NN
3	when	--	RB
4	Gregor	--	NN
5	Samsa	--	NN
6	woke	--	VB
7	from	--	OO
8	troubled	--	JJ
9	dreams	--	NN
10	he	--	NN
11	found	--	VB
12	himself	--	NN
13	transformed	--	VB
14	in	--	OO
15	his	--	JJ
16	bed	--	NN
17	into	--	OO
18	a	--	OO
19	horrible	--	JJ
20	vermin	SPLIT	NN
21	He	--	NN
22	lay	--	VB
23	on	--	OO
24	his	--	JJ
25	armourlike	--	JJ
26	back	--	??
27	and	--	OO
28	if	--	OO
29	he	--	NN
30	lifted	--	VB
31	his	--	JJ
32	head	--	NN
33	a	--	OO
34	little	--	JJ
35	he	--	NN
36	could	--	VB
37	see	--	VB
38	his	--	JJ
39	brown	--	JJ
40	belly	--	NN
41	slightly	--	RB
42	domed	--	JJ
43	and	--	OO
44	divided	--	VB
45	by	--	OO
46	arches	--	NN
47	into	--	OO
48	stiff	--	JJ
49	sections	SPLIT	NN
50	The	--	OO
51	bedding	--	NN
52	was	--	VB
53	hardly	--	RB
54	able	--	JJ
55	to	--	OO
56	cover	--	VB
57	it	--	NN
58	and	--	OO
59	seemed	--	VB
60	ready	--	JJ
61	to	--	OO
62	slide	--	VB
63	off	--	OO
64	any	--	OO
65	moment	SPLIT	NN
66	His	--	JJ
67	many	--	JJ
68	legs	--	NN
69	pitifully	--	RB
70	thin	--	JJ
71	compared	--	VB
72	with	--	OO
73	the	--	OO
74	size	--	NN
75	of	--	OO
76	the	--	OO
77	rest	--	NN
78	of	--	OO
79	him	--	NN
80	waved	--	VB
81	about	--	OO
82	helplessly	--	RB
83	as	--	OO
84	he	--	NN
85	looked	SPLIT	VB
86	What	--	NN
87	s	--	VB
88	happened	--	VB
89	to	--	OO
90	me	??	NN
91	he	--	NN
92	thought	SPLIT	VB
93	It	--	NN
94	was	--	VB
95	nt	--	RB
96	a	--	OO
97	dream	SPLIT	NN
98	His	--	JJ
99	room	--	NN
100	a	--	OO
101	proper	--	JJ
102	human	--	??
103	room	--	NN
104	although	--	OO
105	a	--	OO
106	little	--	??
107	too	--	RB
108	small	--	JJ
109	lay	--	??
110	peacefully	--	RB
111	between	--	OO
112	its	--	JJ
113	four	--	OO
114	familiar	--	JJ
115	walls	SPLIT	NN
116	A	--	OO
117	collection	--	NN
118	of	--	OO
119	textile	--	??
120	samples	--	NN
121	lay	--	VB
122	spread	--	VB
123	out	--	??
124	on	--	OO
125	the	--	OO
126	table	--	NN
127	Samsa	--	NN
128	was	--	VB
