indexInDoc	token	ssplit	posTag
1	WILLOW	--	NN
2	Constance	--	NN
3	Walz	--	NN
4	stopped	--	VB
5	to	--	OO
6	watch	--	VB
7	a	--	OO
8	firefighting	--	NN
9	helicopter	--	NN
10	as	--	OO
11	she	--	NN
12	moved	--	VB
13	wood	--	NN
14	away	--	RB
15	from	--	OO
16	the	--	OO
17	converted	--	??
18	bus	--	NN
19	she	--	NN
20	shares	--	??
21	with	--	OO
22	her	--	JJ
23	seventoed	--	JJ
24	cat	SPLIT	NN
25	Walz	--	NN
26	is	--	VB
27	part	--	NN
28	of	--	OO
29	a	--	OO
30	much	--	JJ
31	larger	--	JJ
32	brigade	--	NN
33	of	--	OO
34	Willow	--	NN
35	residents	--	NN
36	staying	--	VB
37	put	--	VB
38	instead	--	RB
39	of	--	OO
40	evacuating	--	VB
41	from	--	OO
42	the	--	OO
43	Sockeye	--	??
44	fire	--	NN
45	an	--	OO
46	uncontrolled	--	JJ
47	wildland	--	NN
48	conflagration	--	NN
49	that	--	OO
50	s	--	VB
51	so	--	RB
52	far	--	RB
53	destroyed	--	VB
54	50	--	OO
55	to	--	OO
56	100	--	OO
57	structures	--	NN
58	and	--	OO
59	burned	--	VB
60	across	--	OO
61	more	--	??
62	than	--	OO
63	7500	--	OO
64	acres	--	NN
65	since	--	OO
66	Sunday	SPLIT	NN
67	This	--	OO
68	is	--	VB
69	our	--	JJ
70	home	--	NN
71	she	--	NN
72	said	--	VB
73	Tuesday	--	NN
74	standing	--	VB
75	in	--	OO
76	her	--	JJ
77	driveway	--	NN
78	wearing	--	VB
79	a	--	OO
80	sleeveless	--	JJ
81	blouse	--	NN
82	and	--	OO
83	opentoed	--	JJ
84	sandals	SPLIT	NN
85	Until	--	OO
86	it	--	NN
87	s	--	VB
88	in	--	OO
89	my	--	JJ
90	backyard	--	NN
91	and	--	OO
92	that	--	OO
93	rubber	--	NN
94	is	--	VB
95	melting	--	VB
96	on	--	OO
97	my	--	JJ
98	truck	--	NN
99	not	--	RB
100	going	--	VB
101	anywhere	SPLIT	RB
102	got	--	VB
103	to	--	OO
104	protect	--	VB
105	the	--	OO
106	neighborhood	SPLIT	NN
107	Who	--	NN
108	else	--	RB
109	is	--	VB
110	going	--	VB
111	to	??	OO
112	The	--	OO
113	flames	--	NN
114	came	--	VB
115	close	--	RB
116	to	--	OO
117	this	--	OO
118	neighborhood	--	NN
119	on	--	OO
120	the	--	OO
121	fire	--	NN
122	s	--	OO
